Date,Price
5 de janeiro de 2022,187.70
12 de janeiro de 2022,188.40
19 de janeiro de 2022,187.56
26 de janeiro de 2022,184.26
2 de fevereiro de 2022,184.73
9 de fevereiro de 2022,186.88
16 de fevereiro de 2022,185.66
23 de fevereiro de 2022,183.63
2 de março de 2022,185.17
9 de março de 2022,183.64
16 de março de 2022,191.58
23 de março de 2022,192.28
30 de março de 2022,193.63
6 de abril de 2022,194.92
13 de abril de 2022,201.68
20 de abril de 2022,200.79
27 de abril de 2022,202.94
4 de maio de 2022,205.99
11 de maio de 2022,207.21
18 de maio de 2022,205.26
25 de maio de 2022,204.91
1 de junho de 2022,205.98
8 de junho de 2022,201.29
15 de junho de 2022,203.20
22 de junho de 2022,201.98
29 de junho de 2022,203.72
6 de julho de 2022,206.79
13 de julho de 2022,204.79
20 de julho de 2022,205.54
27 de julho de 2022,205.29
3 de agosto de 2022,207.33
10 de agosto de 2022,211.24
17 de agosto de 2022,206.77
24 de agosto de 2022,209.81
31 de agosto de 2022,206.39
7 de setembro de 2022,206.35
14 de setembro de 2022,209.01
21 de setembro de 2022,207.80
28 de setembro de 2022,210.43
5 de outubro de 2022,210.83
12 de outubro de 2022,210.51
19 de outubro de 2022,214.30
26 de outubro de 2022,210.82
2 de novembro de 2022,210.85
9 de novembro de 2022,209.48
16 de novembro de 2022,209.98
23 de novembro de 2022,212.76
30 de novembro de 2022,219.22
7 de dezembro de 2022,219.07
14 de dezembro de 2022,218.87
21 de dezembro de 2022,218.94
28 de dezembro de 2022,217.14
4 de janeiro de 2023,219.40
11 de janeiro de 2023,224.95
18 de janeiro de 2023,224.67
25 de janeiro de 2023,218.91
1 de fevereiro de 2023,222.16
8 de fevereiro de 2023,224.92
15 de fevereiro de 2023,228.66
22 de fevereiro de 2023,226.60
1 de março de 2023,230.38
8 de março de 2023,230.76
15 de março de 2023,234.84
22 de março de 2023,226.15
29 de março de 2023,225.99
5 de abril de 2023,226.98
13 de abril de 2023,226.42
19 de abril de 2023,222.95
26 de abril de 2023,222.78
3 de maio de 2023,222.62
10 de maio de 2023,222.86
17 de maio de 2023,219.70
24 de maio de 2023,220.09
31 de maio de 2023,217.60
7 de junho de 2023,222.06
14 de junho de 2023,218.79
21 de junho de 2023,219.32
28 de junho de 2023,216.50
5 de julho de 2023,214.07
12 de julho de 2023,212.77
19 de julho de 2023,216.86
26 de julho de 2023,215.24
2 de agosto de 2023,212.09
9 de agosto de 2023,211.94
16 de agosto de 2023,211.24
23 de agosto de 2023,213.39
30 de agosto de 2023,213.63
6 de setembro de 2023,211.33
13 de setembro de 2023,215.75
20 de setembro de 2023,216.02
27 de setembro de 2023,217.87
4 de outubro de 2023,217.01
11 de outubro de 2023,220.54
18 de outubro de 2023,220.73
25 de outubro de 2023,222.12
1 de novembro de 2023,224.86
8 de novembro de 2023,228.09
15 de novembro de 2023,230.42
22 de novembro de 2023,231.70
29 de novembro de 2023,225.58
6 de dezembro de 2023,228.93
13 de dezembro de 2023,229.63
20 de dezembro de 2023,231.15
27 de dezembro de 2023,230.17
10 de janeiro de 2024,243.79
17 de janeiro de 2024,240.99
24 de janeiro de 2024,235.88
31 de janeiro de 2024,240.69
7 de fevereiro de 2024,237.98
14 de fevereiro de 2024,236.60
21 de fevereiro de 2024,238.49
28 de fevereiro de 2024,238.13
6 de março de 2024,233.46
13 de março de 2024,237.59
20 de março de 2024,238.36
27 de março de 2024,238.36
10 de abril de 2024,231.94
16 de abril de 2024,237.80
17 de abril de 2024,237.96
23 de abril de 2024,236.90
24 de abril de 2024,235.65
30 de abril de 2024,235.19
1 de maio de 2024,237.76
7 de maio de 2024,234.91
8 de maio de 2024,234.71
14 de maio de 2024,231.78
15 de maio de 2024,235.06
21 de maio de 2024,235.22
22 de maio de 2024,232.72
28 de maio de 2024,227.73
29 de maio de 2024,228.47
4 de junho de 2024,228.11
5 de junho de 2024,228.06
11 de junho de 2024,227.09
12 de junho de 2024,225.21
18 de junho de 2024,227.34
19 de junho de 2024,223.82
25 de junho de 2024,226.45
26 de junho de 2024,224.63
2 de julho de 2024,225.11
3 de julho de 2024,227.60
9 de julho de 2024,227.30
10 de julho de 2024,228.25
16 de julho de 2024,226.97
17 de julho de 2024,227.97
23 de julho de 2024,228.60
24 de julho de 2024,235.44
30 de julho de 2024,236.40
31 de julho de 2024,233.58
6 de agosto de 2024,234.93
7 de agosto de 2024,236.09
13 de agosto de 2024,233.04
14 de agosto de 2024,233.20
20 de agosto de 2024,235.76
21 de agosto de 2024,234.64
28 de agosto de 2024,233.61
1 de janeiro de 2025,236.17
8 de janeiro de 2025,239.14
15 de janeiro de 2025,240.08
22 de janeiro de 2025,241.85
29 de janeiro de 2025,238.79
5 de fevereiro de 2025,241.40
12 de fevereiro de 2025,241.39
19 de fevereiro de 2025,235.66
26 de fevereiro de 2025,236.51
5 de março de 2025,238
12 de março de 2025,235.74
19 de março de 2025,236.95
26 de março de 2025,236.94
2 de abril de 2025,238.50
9 de abril de 2025,238.16
22  de outubro de 2025,236.87
